eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B30,13.333333333333334,35.294117647058826,34,12
B40,10.980392156862745,7.142857142857142,28,2
C67,9.019607843137255,17.391304347826086,23,4
C65,5.88235294117647,33.33333333333333,15,5
B43,5.88235294117647,13.333333333333334,15,2
B42,5.490196078431373,57.14285714285714,14,8
B31,4.705882352941177,41.66666666666667,12,5
C88,4.705882352941177,8.333333333333332,12,1
C07,4.313725490196078,36.36363636363637,11,4
C02,3.5294117647058822,55.55555555555556,9,5
B10,3.1372549019607843,25.0,8,2
C08,2.3529411764705883,0.0,6,
C83,2.3529411764705883,33.33333333333333,6,2
B28,1.9607843137254901,20.0,5,1
B48,1.9607843137254901,40.0,5,2
B90,1.5686274509803921,25.0,4,1
E01,1.5686274509803921,0.0,4,
C87,1.1764705882352942,33.33333333333333,3,1
D37,1.1764705882352942,0.0,3,
D02,1.1764705882352942,0.0,3,
B12,1.1764705882352942,33.33333333333333,3,1
C01,1.1764705882352942,0.0,3,
E00,1.1764705882352942,66.66666666666666,3,2
C99,0.7843137254901961,50.0,2,1
B33,0.7843137254901961,0.0,2,
D35,0.7843137254901961,0.0,2,
B52,0.7843137254901961,0.0,2,
B46,0.39215686274509803,0.0,1,
C78,0.39215686274509803,100.0,1,1
C84,0.39215686274509803,0.0,1,
B22,0.39215686274509803,0.0,1,
A20,0.39215686274509803,0.0,1,
D45,0.39215686274509803,0.0,1,
A34,0.39215686274509803,0.0,1,
B27,0.39215686274509803,0.0,1,
D10,0.39215686274509803,0.0,1,
B54,0.39215686274509803,0.0,1,
E10,0.39215686274509803,0.0,1,
C79,0.39215686274509803,100.0,1,1
E04,0.39215686274509803,100.0,1,1
B80,0.39215686274509803,0.0,1,
D30,0.39215686274509803,0.0,1,
C70,0.39215686274509803,0.0,1,
B13,0.39215686274509803,100.0,1,1
D19,0.39215686274509803,0.0,1,
