eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B00,32.111111111111114,100.0,289,289
C42,30.777777777777775,97.47292418772562,277,270
C07,15.222222222222223,24.817518248175183,137,34
C08,5.888888888888888,15.09433962264151,53,8
B40,2.7777777777777777,32.0,25,8
C00,2.4444444444444446,31.818181818181817,22,7
B52,1.8888888888888888,0.0,17,
C02,1.1111111111111112,30.0,10,3
C43,0.8888888888888888,100.0,8,8
A06,0.6666666666666667,100.0,6,6
A40,0.6666666666666667,100.0,6,6
A04,0.4444444444444444,100.0,4,4
C80,0.33333333333333337,66.66666666666666,3,2
C69,0.33333333333333337,33.33333333333333,3,1
B51,0.33333333333333337,66.66666666666666,3,2
B50,0.33333333333333337,0.0,3,
C67,0.33333333333333337,0.0,3,
B90,0.33333333333333337,66.66666666666666,3,2
D27,0.33333333333333337,100.0,3,3
D25,0.33333333333333337,100.0,3,3
C83,0.2222222222222222,0.0,2,
C01,0.2222222222222222,0.0,2,
C65,0.2222222222222222,0.0,2,
D30,0.1111111111111111,100.0,1,1
A13,0.1111111111111111,0.0,1,
C41,0.1111111111111111,100.0,1,1
E00,0.1111111111111111,0.0,1,
B33,0.1111111111111111,0.0,1,
A05,0.1111111111111111,100.0,1,1
B43,0.1111111111111111,100.0,1,1
B47,0.1111111111111111,0.0,1,
D35,0.1111111111111111,100.0,1,1
B22,0.1111111111111111,0.0,1,
E10,0.1111111111111111,0.0,1,
D29,0.1111111111111111,100.0,1,1
D49,0.1111111111111111,100.0,1,1
D14,0.1111111111111111,100.0,1,1
D12,0.1111111111111111,100.0,1,1
A00,0.1111111111111111,100.0,1,1
