eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B90,14.950166112956811,8.88888888888889,45,4
E10,14.285714285714285,11.627906976744185,43,5
B48,10.299003322259136,45.16129032258064,31,14
E01,7.641196013289036,17.391304347826086,23,4
A13,6.312292358803987,5.263157894736842,19,1
C67,5.3156146179401995,0.0,16,
E04,4.983388704318937,0.0,15,
E00,4.318936877076411,23.076923076923077,13,3
B52,3.6544850498338874,0.0,11,
D35,2.990033222591362,11.11111111111111,9,1
D02,2.990033222591362,11.11111111111111,9,1
B42,2.6578073089700998,12.5,8,1
B50,2.3255813953488373,0.0,7,
B51,1.9933554817275747,16.666666666666664,6,1
C02,1.9933554817275747,16.666666666666664,6,1
B33,1.6611295681063125,0.0,5,
A05,1.3289036544850499,0.0,4,
C01,1.3289036544850499,0.0,4,
B46,0.9966777408637874,0.0,3,
D37,0.9966777408637874,0.0,3,
B80,0.6644518272425249,0.0,2,
C78,0.6644518272425249,0.0,2,
A30,0.6644518272425249,0.0,2,
B40,0.6644518272425249,0.0,2,
D31,0.33222591362126247,0.0,1,
A46,0.33222591362126247,0.0,1,
A40,0.33222591362126247,0.0,1,
B56,0.33222591362126247,0.0,1,
A04,0.33222591362126247,0.0,1,
D10,0.33222591362126247,0.0,1,
B44,0.33222591362126247,0.0,1,
D49,0.33222591362126247,0.0,1,
B43,0.33222591362126247,0.0,1,
D30,0.33222591362126247,0.0,1,
B84,0.33222591362126247,0.0,1,
A20,0.33222591362126247,0.0,1,
B54,0.33222591362126247,0.0,1,
