eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B30,18.28358208955224,40.816326530612244,49,20
B40,16.417910447761194,22.727272727272727,44,10
B31,9.701492537313433,50.0,26,13
C65,7.08955223880597,42.10526315789473,19,8
C67,7.08955223880597,21.052631578947366,19,4
C88,6.343283582089552,23.52941176470588,17,4
B43,5.223880597014925,35.714285714285715,14,5
B42,2.6119402985074625,42.857142857142854,7,3
C87,2.2388059701492535,16.666666666666664,6,1
B10,2.2388059701492535,33.33333333333333,6,2
B52,2.2388059701492535,0.0,6,
B51,1.8656716417910446,40.0,5,2
B90,1.4925373134328357,75.0,4,3
C77,1.1194029850746268,66.66666666666666,3,2
B54,1.1194029850746268,66.66666666666666,3,2
C07,1.1194029850746268,33.33333333333333,3,1
B48,1.1194029850746268,0.0,3,
C48,0.7462686567164178,0.0,2,
C70,0.7462686567164178,0.0,2,
C60,0.7462686567164178,0.0,2,
C99,0.7462686567164178,0.0,2,
C08,0.7462686567164178,0.0,2,
B33,0.7462686567164178,50.0,2,1
C45,0.7462686567164178,50.0,2,1
B46,0.3731343283582089,0.0,1,
D37,0.3731343283582089,0.0,1,
C01,0.3731343283582089,100.0,1,1
E04,0.3731343283582089,100.0,1,1
C80,0.3731343283582089,100.0,1,1
D35,0.3731343283582089,0.0,1,
C02,0.3731343283582089,0.0,1,
A20,0.3731343283582089,0.0,1,
A34,0.3731343283582089,0.0,1,
E01,0.3731343283582089,0.0,1,
E02,0.3731343283582089,100.0,1,1
B45,0.3731343283582089,0.0,1,
E10,0.3731343283582089,0.0,1,
C53,0.3731343283582089,0.0,1,
C83,0.3731343283582089,0.0,1,
B50,0.3731343283582089,0.0,1,
D31,0.3731343283582089,0.0,1,
D30,0.3731343283582089,0.0,1,
B22,0.3731343283582089,100.0,1,1
B80,0.3731343283582089,0.0,1,
