eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
C67,22.448979591836736,13.636363636363635,22,3
C08,7.142857142857142,0.0,7,
C02,7.142857142857142,28.57142857142857,7,2
D02,7.142857142857142,14.285714285714285,7,1
E00,6.122448979591836,33.33333333333333,6,2
E01,6.122448979591836,0.0,6,
E10,5.1020408163265305,0.0,5,
B30,4.081632653061225,0.0,4,
B45,3.061224489795918,33.33333333333333,3,1
B12,3.061224489795918,33.33333333333333,3,1
B31,3.061224489795918,33.33333333333333,3,1
C01,3.061224489795918,0.0,3,
B13,3.061224489795918,33.33333333333333,3,1
B90,2.0408163265306123,50.0,2,1
E04,2.0408163265306123,0.0,2,
B28,2.0408163265306123,0.0,2,
C00,2.0408163265306123,0.0,2,
A08,1.0204081632653061,0.0,1,
C83,1.0204081632653061,100.0,1,1
C99,1.0204081632653061,0.0,1,
B10,1.0204081632653061,0.0,1,
B40,1.0204081632653061,0.0,1,
B42,1.0204081632653061,100.0,1,1
A20,1.0204081632653061,0.0,1,
A04,1.0204081632653061,100.0,1,1
B44,1.0204081632653061,0.0,1,
A13,1.0204081632653061,100.0,1,1
C07,1.0204081632653061,0.0,1,
