eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
C07,45.67%,24.82%,137,34
C08,17.67%,15.09%,53,8
B40,8.33%,32.0%,25,8
C00,7.33%,31.82%,22,7
B52,5.67%,0.0%,17,
C02,3.33%,30.0%,10,3
C80,1.0%,66.67%,3,2
C69,1.0%,33.33%,3,1
B51,1.0%,66.67%,3,2
B50,1.0%,0.0%,3,
C67,1.0%,0.0%,3,
B90,1.0%,66.67%,3,2
C83,0.67%,0.0%,2,
C01,0.67%,0.0%,2,
C65,0.67%,0.0%,2,
C42,0.33%,100.0%,1,1
D30,0.33%,100.0%,1,1
C41,0.33%,100.0%,1,1
A13,0.33%,0.0%,1,
E00,0.33%,0.0%,1,
B33,0.33%,0.0%,1,
A05,0.33%,100.0%,1,1
B43,0.33%,100.0%,1,1
B47,0.33%,0.0%,1,
D35,0.33%,100.0%,1,1
B22,0.33%,0.0%,1,
E10,0.33%,0.0%,1,
