eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B90,28.0%,14.29%,84,12
B40,10.33%,19.35%,31,6
B52,10.0%,6.67%,30,2
B48,7.0%,19.05%,21,4
B43,6.67%,35.0%,20,7
C07,4.67%,21.43%,14,3
E04,2.67%,12.5%,8,1
C01,2.67%,12.5%,8,1
B80,2.67%,62.5%,8,5
C02,2.33%,0.0%,7,0
C78,2.0%,16.67%,6,1
C08,2.0%,0.0%,6,0
B45,1.33%,25.0%,4,1
C67,1.33%,50.0%,4,2
B46,1.33%,50.0%,4,2
E00,1.33%,0.0%,4,0
B33,1.33%,50.0%,4,2
E01,1.0%,33.33%,3,1
D37,1.0%,0.0%,3,0
B50,1.0%,0.0%,3,
E10,1.0%,33.33%,3,1
B51,1.0%,33.33%,3,1
D35,0.67%,50.0%,2,1
B69,0.67%,0.0%,2,
B44,0.67%,50.0%,2,1
E17,0.67%,50.0%,2,1
C83,0.67%,0.0%,2,
C41,0.67%,50.0%,2,1
B22,0.33%,0.0%,1,
E16,0.33%,0.0%,1,
C65,0.33%,0.0%,1,
A13,0.33%,0.0%,1,
B23,0.33%,100.0%,1,1
A20,0.33%,0.0%,1,
B89,0.33%,0.0%,1,
B42,0.33%,0.0%,1,
C00,0.33%,100.0%,1,1
B30,0.33%,0.0%,1,
