eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B30,13.33%,35.29%,34,12
B40,10.98%,7.14%,28,2
C67,9.02%,17.39%,23,4
C65,5.88%,33.33%,15,5
B43,5.88%,13.33%,15,2
B42,5.49%,57.14%,14,8
B31,4.71%,41.67%,12,5
C88,4.71%,8.33%,12,1
C07,4.31%,36.36%,11,4
C02,3.53%,55.56%,9,5
B10,3.14%,25.0%,8,2
C08,2.35%,0.0%,6,0
C83,2.35%,33.33%,6,2
B28,1.96%,20.0%,5,1
B48,1.96%,40.0%,5,2
B90,1.57%,25.0%,4,1
E01,1.57%,0.0%,4,0
C87,1.18%,33.33%,3,1
D37,1.18%,0.0%,3,0
D02,1.18%,0.0%,3,0
B12,1.18%,33.33%,3,1
C01,1.18%,0.0%,3,0
E00,1.18%,66.67%,3,2
C99,0.78%,50.0%,2,1
B33,0.78%,0.0%,2,0
D35,0.78%,0.0%,2,0
B52,0.78%,0.0%,2,0
B46,0.39%,0.0%,1,0
C78,0.39%,100.0%,1,1
C84,0.39%,0.0%,1,0
B22,0.39%,0.0%,1,0
A20,0.39%,0.0%,1,0
D45,0.39%,0.0%,1,0
A34,0.39%,0.0%,1,0
B27,0.39%,0.0%,1,0
D10,0.39%,0.0%,1,0
B54,0.39%,0.0%,1,0
E10,0.39%,0.0%,1,0
C79,0.39%,100.0%,1,1
E04,0.39%,100.0%,1,1
B80,0.39%,0.0%,1,0
D30,0.39%,0.0%,1,0
C70,0.39%,0.0%,1,0
B13,0.39%,100.0%,1,1
D19,0.39%,0.0%,1,0
