eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
C67,22.45%,13.64%,22,3
C08,7.14%,0.0%,7,0
C02,7.14%,28.57%,7,2
D02,7.14%,14.29%,7,1
E00,6.12%,33.33%,6,2
E01,6.12%,0.0%,6,0
E10,5.1%,0.0%,5,0
B30,4.08%,0.0%,4,0
B45,3.06%,33.33%,3,1
B12,3.06%,33.33%,3,1
B31,3.06%,33.33%,3,1
C01,3.06%,0.0%,3,0
B13,3.06%,33.33%,3,1
B90,2.04%,50.0%,2,1
E04,2.04%,0.0%,2,0
B28,2.04%,0.0%,2,0
C00,2.04%,0.0%,2,0
A08,1.02%,0.0%,1,0
C83,1.02%,100.0%,1,1
C99,1.02%,0.0%,1,0
B10,1.02%,0.0%,1,0
B40,1.02%,0.0%,1,0
B42,1.02%,100.0%,1,1
A20,1.02%,0.0%,1,0
A04,1.02%,100.0%,1,1
B44,1.02%,0.0%,1,0
A13,1.02%,100.0%,1,1
C07,1.02%,0.0%,1,0
